velocity [mm/s]	effect [%]	deffect [%]	
14.246	-0.07549	0.11737	-0.041853
14.326	-0.034543	0.1174	-0.040941
14.405	-0.046951	0.11739	-0.040055
14.485	-0.12154	0.11735	-0.039193
14.565	-0.23818	0.11728	-0.038355
14.645	-0.20205	0.1173	-0.037538
14.725	-0.032613	0.1174	-0.036744
14.804	0.01316	0.11743	-0.03597
14.884	-0.020756	0.11741	-0.035215
14.964	-0.013173	0.11741	-0.03448
15.044	-0.047227	0.11739	-0.033763
15.124	0.028601	0.11743	-0.033064
15.203	0.12718	0.11749	-0.032381
15.283	0.0035088	0.11742	-0.031715
15.363	-0.095757	0.11736	-0.031064
15.443	-0.13022	0.11734	-0.030429
15.523	-0.11616	0.11735	-0.029808
15.603	-0.057154	0.11738	-0.029201
15.682	0.013987	0.11743	-0.028608
15.762	0.019364	0.11743	-0.028027
15.842	-0.024065	0.1174	-0.02746
15.922	0.016882	0.11743	-0.026904
16.002	-0.012208	0.11741	-0.02636
16.081	0.12221	0.11749	-0.025828
16.161	0.22244	0.11755	-0.025306
16.241	0.038941	0.11744	-0.024795
16.321	-0.14484	0.11733	-0.024294
16.401	-0.11754	0.11735	-0.023803
16.48	-0.14498	0.11733	-0.023322
16.56	-0.011243	0.11741	-0.02285
16.64	-0.068045	0.11738	-0.022387
16.72	-0.096308	0.11736	-0.021933
16.8	-0.002006	0.11742	-0.021487
16.879	-0.0053149	0.11741	-0.021049
16.959	-0.049295	0.11739	-0.020619
17.039	-0.018688	0.11741	-0.020197
17.119	0.069962	0.11746	-0.019782
17.199	0.10553	0.11748	-0.019375
17.278	0.079199	0.11746	-0.018974
17.358	0.0025437	0.11742	-0.01858
17.438	0.067618	0.11746	-0.018193
17.518	-0.0079344	0.11741	-0.017812
17.598	-0.078523	0.11737	-0.017438
17.678	-0.03413	0.1174	-0.017069
17.757	-0.021721	0.1174	-0.016706
17.837	0.0086099	0.11742	-0.016349
17.917	0.066653	0.11746	-0.015998
17.997	-0.15711	0.11733	-0.015652
18.077	-0.13588	0.11734	-0.015311
18.156	-0.02503	0.1174	-0.014975
18.236	-0.0464	0.11739	-0.014644
18.316	-0.0025575	0.11742	-0.014318
18.396	0.085817	0.11747	-0.013997
18.476	0.038252	0.11744	-0.01368
18.555	-0.068459	0.11738	-0.013368
18.635	-0.047503	0.11739	-0.01306
18.715	0.0013029	0.11742	-0.012756
18.795	0.0013029	0.11742	-0.012457
18.875	-0.031648	0.1174	-0.012161
18.954	0.010678	0.11742	-0.01187
19.034	-0.032889	0.1174	-0.011582
19.114	-0.0095888	0.11741	-0.011298
19.194	-0.0079344	0.11741	-0.011017
19.274	-0.022273	0.1174	-0.01074
19.353	-0.096308	0.11736	-0.010466
19.433	-0.056464	0.11738	-0.010196
19.513	-0.093275	0.11736	-0.0099294
19.593	-0.17558	0.11731	-0.0096657
19.673	-0.14429	0.11733	-0.0094052
19.753	-0.023238	0.1174	-0.0091477
19.832	-0.087761	0.11737	-0.0088931
19.912	-0.066529	0.11738	-0.0086415
19.992	0.016606	0.11743	-0.0083928
20.072	-0.099204	0.11736	-0.0081468
20.152	0.11449	0.11748	-0.0079035
20.231	0.07589	0.11746	-0.0076629
20.311	0.012884	0.11743	-0.0074249
20.391	0.12938	0.11749	-0.0071894
